2016-03-23 16:37:13	
2016-03-23 16:37:13	
2016-03-23 16:37:13	Name: LEE, JungHoon
2016-03-23 16:37:13	Student ID: 2012335054
2016-03-23 16:37:16	
Input the number
2016-03-23 16:37:16	1
2016-03-23 16:37:17	1th execute: Red LED Blink
2016-03-23 16:37:17	9PIN ON
2016-03-23 16:37:17	wait for 1sec
2016-03-23 16:37:17	9PIN OFF
2016-03-23 16:37:19	wait for 1sec
2016-03-23 16:37:19	2
2016-03-23 16:37:19	2th execute: Yellow LED Blink
2016-03-23 16:37:19	8PIN ON
2016-03-23 16:37:20	wait for 1sec
2016-03-23 16:37:20	8PIN OFF
2016-03-23 16:37:22	wait for 1sec
2016-03-23 16:37:22	3
2016-03-23 16:37:22	3th execute: Green LED Blink
2016-03-23 16:37:22	7PIN ON
2016-03-23 16:37:23	wait for 1sec
2016-03-23 16:37:23	7PIN OFF
2016-03-23 16:37:24	wait for 1sec
2016-03-23 16:37:24	4
2016-03-23 16:37:27	4th execute: ALL LED ON
2016-03-23 16:37:27	5
2016-03-23 16:37:30	5th execute: ALL LED OFF
2016-03-23 16:37:30	6
2016-03-23 16:37:30	6th execute: 3/15 EX1
2016-03-23 16:37:30	Red LED ON
2016-03-23 16:37:31	wait for 1sec
2016-03-23 16:37:31	Yellow LED ON
2016-03-23 16:37:32	wait for 1sec
2016-03-23 16:37:32	Green LED ON
2016-03-23 16:37:33	wait for 1sec
2016-03-23 16:37:36	All LED OFF
2016-03-23 16:37:36	wait for 1sec
2016-03-23 16:37:36	7
2016-03-23 16:37:36	7th execute: traffic
2016-03-23 16:37:36	Red LED ON
2016-03-23 16:37:41	wait for 5sec
2016-03-23 16:37:41	Yellow LED ON
2016-03-23 16:37:43	wait for 2sec
2016-03-23 16:37:43	Red & Yellow LED OFF
2016-03-23 16:37:43	7PIN ON
2016-03-23 16:37:44	wait for 1sec
2016-03-23 16:37:44	7PIN OFF
2016-03-23 16:37:45	wait for 1sec
2016-03-23 16:37:45	7PIN ON
2016-03-23 16:37:46	wait for 1sec
2016-03-23 16:37:46	7PIN OFF
2016-03-23 16:37:47	wait for 1sec
2016-03-23 16:37:47	7PIN ON
2016-03-23 16:37:48	wait for 1sec
2016-03-23 16:37:48	7PIN OFF
2016-03-23 16:37:49	wait for 1sec
2016-03-23 16:37:50	7PIN ON
2016-03-23 16:37:50	wait for 1sec
2016-03-23 16:37:50	7PIN OFF
2016-03-23 16:37:51	wait for 1sec
2016-03-23 16:37:51	7PIN ON
2016-03-23 16:37:52	wait for 1sec
2016-03-23 16:37:53	7PIN OFF
2016-03-23 16:37:53	wait for 1sec
2016-03-23 16:37:53	Yellow LED ON
2016-03-23 16:37:55	wait for 2sec
2016-03-23 16:37:58	Yellow LED OFF
2016-03-23 16:37:58	8
2016-03-23 16:37:58	8th execute: 3 color LED on/off
2016-03-23 16:37:58	9PIN ON
2016-03-23 16:37:59	wait for 1sec
2016-03-23 16:38:00	9PIN OFF
2016-03-23 16:38:00	wait for 1sec
2016-03-23 16:38:00	9PIN ON
2016-03-23 16:38:01	wait for 1sec
2016-03-23 16:38:01	9PIN OFF
2016-03-23 16:38:02	wait for 1sec
2016-03-23 16:38:02	9PIN ON
2016-03-23 16:38:03	wait for 1sec
2016-03-23 16:38:03	9PIN OFF
2016-03-23 16:38:04	wait for 1sec
2016-03-23 16:38:04	9PIN ON
2016-03-23 16:38:05	wait for 1sec
2016-03-23 16:38:06	9PIN OFF
2016-03-23 16:38:06	wait for 1sec
2016-03-23 16:38:06	9PIN ON
2016-03-23 16:38:07	wait for 1sec
2016-03-23 16:38:07	9PIN OFF
2016-03-23 16:38:08	wait for 1sec
2016-03-23 16:38:08	9PIN ON
2016-03-23 16:38:09	wait for 1sec
2016-03-23 16:38:09	9PIN OFF
2016-03-23 16:38:10	wait for 1sec
2016-03-23 16:38:10	9PIN ON
2016-03-23 16:38:11	wait for 1sec
2016-03-23 16:38:11	9PIN OFF
2016-03-23 16:38:12	wait for 1sec
2016-03-23 16:38:12	9PIN ON
2016-03-23 16:38:13	wait for 1sec
2016-03-23 16:38:13	9PIN OFF
2016-03-23 16:38:14	wait for 1sec
2016-03-23 16:38:15	8PIN ON
2016-03-23 16:38:15	wait for 1sec
2016-03-23 16:38:15	8PIN OFF
2016-03-23 16:38:16	wait for 1sec
2016-03-23 16:38:16	8PIN ON
2016-03-23 16:38:17	wait for 1sec
2016-03-23 16:38:17	8PIN OFF
2016-03-23 16:38:18	wait for 1sec
2016-03-23 16:38:18	8PIN ON
2016-03-23 16:38:19	wait for 1sec
2016-03-23 16:38:19	8PIN OFF
2016-03-23 16:38:20	wait for 1sec
2016-03-23 16:38:20	8PIN ON
2016-03-23 16:38:21	wait for 1sec
2016-03-23 16:38:21	8PIN OFF
2016-03-23 16:38:22	wait for 1sec
2016-03-23 16:38:22	7PIN ON
2016-03-23 16:38:23	wait for 1sec
2016-03-23 16:38:23	7PIN OFF
2016-03-23 16:38:24	wait for 1sec
2016-03-23 16:38:24	7PIN ON
2016-03-23 16:38:25	wait for 1sec
2016-03-23 16:38:28	7PIN OFF
2016-03-23 16:38:28	wait for 1sec
2016-03-23 16:38:31	9
2016-03-23 16:38:31	Error
2016-03-23 16:38:31	0
2016-03-23 16:38:37	Error
